model,variant,score,outcome,primary,rows,event_dates,spearman,date_block_ci_low,date_block_ci_high,date_block_probability_nonpositive,date_block_p_one_sided,issuer_block_ci_low,issuer_block_ci_high,issuer_block_probability_nonpositive,issuer_block_p_one_sided,within_date_rank_correlation,within_date_permutation_p_one_sided,configuration_order,date_block_bh_q_all_64,issuer_block_bh_q_all_64,primary_model_bh_q_within_variant,primary_model_issuer_bh_q_within_variant
qwen25_7b,company_prefix,mean_cosine,abs_market_adjusted_return_h2,False,9271,136,0.19144988990630518,0.16872585575913504,0.21446340308093167,0.0,0.0004997501249375312,0.1712316708950495,0.21254903027384417,0.0,0.0004997501249375312,0.18098739518378557,,29,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,company_prefix,mean_cosine,parkinson_expansion_h1,False,9304,137,0.2197780286946394,0.19504952465572553,0.24398671573576575,0.0,0.0004997501249375312,0.19818119975017748,0.2416023937995176,0.0,0.0004997501249375312,0.18992685742380702,,30,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,company_prefix,mean_cosine,abnormal_volume_h1,False,9304,137,0.2677062969749529,0.24167380461052262,0.29474744101412276,0.0,0.0004997501249375312,0.2462440597965408,0.2880157299601009,0.0,0.0004997501249375312,0.2438876140408237,,31,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,last_projection,abs_market_adjusted_return_h1,True,9335,137,0.11179985105761556,0.07976135808772651,0.1382239969883433,0.0,0.0004997501249375312,0.08919467332973463,0.13404653282414367,0.0,0.0004997501249375312,0.0856719196481294,0.0004997501249375312,32,0.0007615239999048095,0.0007438141394419069,0.0009995002498750624,0.0009995002498750624
qwen3_4b,prefixless,last_projection,abs_market_adjusted_return_h2,False,9271,136,0.09855054896875844,0.07671775033347288,0.11824407402102007,0.0,0.0004997501249375312,0.07638947599762629,0.11997687470968714,0.0,0.0004997501249375312,0.08166677010205085,,33,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,last_projection,parkinson_expansion_h1,False,9304,137,0.2024923619351218,0.1582566869599652,0.23567460024372808,0.0,0.0004997501249375312,0.1817329181562453,0.22497299768108642,0.0,0.0004997501249375312,0.1770459146616932,,34,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,last_projection,abnormal_volume_h1,False,9304,137,0.16613633354262447,0.13578960417911887,0.19406686329638353,0.0,0.0004997501249375312,0.14290799230232373,0.18817464631694597,0.0,0.0004997501249375312,0.14057208385938313,,35,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,last_cosine,abs_market_adjusted_return_h1,False,9335,137,0.12549172795972585,0.09373601179540535,0.15218477032632297,0.0,0.0004997501249375312,0.10535864615155972,0.1475249732086122,0.0,0.0004997501249375312,0.09511172850924726,,36,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,last_cosine,abs_market_adjusted_return_h2,False,9271,136,0.10943481673062509,0.08764375292206576,0.12856707489506974,0.0,0.0004997501249375312,0.08698041935643114,0.13069237935811304,0.0,0.0004997501249375312,0.08983126992151044,,37,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,last_cosine,parkinson_expansion_h1,False,9304,137,0.22471499807844744,0.18353537807700987,0.25821655235829666,0.0,0.0004997501249375312,0.20371559204814293,0.2449247967826249,0.0,0.0004997501249375312,0.19174710099621686,,38,0.0007615239999048095,0.0007438141394419069,,
